Nazwa Gminy; Liczba Hexagonów
Krzemieniewo;4;25;164;1160;8110
Chodzież;10;52;362;2507;17553
Rogoźno;7;48;322;2256;15824
Sieraków;5;44;308;2153;15041
Chrzypsko Wielkie;3;17;123;863;6052
Ostrów Wielkopolski;1;9;61;422;2946
Białośliwie;2;17;112;788;5557
Łobżenica;7;42;288;2025;14158
Mosina;6;37;253;1761;12378
Mieścisko;4;29;201;1409;9840
Wągrowiec;0;3;28;187;1310
Tuliszków;4;34;225;1580;11005
Jastrowie;12;79;540;3792;26524
Kołaczkowo;2;23;167;1187;8290
Kamieniec;3;27;198;1367;9545
Rychwał;6;26;174;1213;8484
Ślesin;5;32;217;1527;10670
Leszno;1;5;45;313;2203
Kłecko;3;26;194;1361;9501
Kościelec;3;22;153;1089;7631
Przedecz;2;15;111;798;5619
Koło;1;3;21;146;991
Olszówka;2;17;123;859;5994
Witkowo;5;38;275;1933;13541
Poniec;4;27;192;1353;9473
Krzepice;3;15;114;797;5587
Sulmierzyce;1;8;45;307;2135
Krzywiń;4;39;264;1841;12892
Popów;3;23;152;1048;7333
Pilchowice;0;0;0;0;0
Boronów;1;12;83;577;4045
Herby;3;16;116;854;5966
Czerwionka-Leszczyny;3;23;167;1130;7901
Imielin;1;6;41;281;1949
Lędziny;2;8;46;324;2285
Zawiercie;2;17;115;816;5714
Roźwienica;4;15;97;679;4721
Gołcza;4;19;131;899;6275
Inowrocław;7;36;254;1774;12339
Żyrzyn;4;28;190;1318;9212
Nałęczów;2;14;89;638;4475
Dziemiany;5;28;191;1349;9487
Kościerzyna;9;72;526;3715;25939
Stara Kiszewa;6;47;326;2282;16035
Lichnowy;3;20;136;963;6723
Sokolniki;2;15;116;812;5704
Lututów;2;17;112;782;5468
Tarnowiec;2;11;89;618;4304
Chorkówka;1;14;103;730;5139
Miejsce Piastowe;1;9;72;503;3549
Wiśniowa;2;12;96;663;4628
Grybów;0;3;23;159;1102
Łabowa;3;25;166;1155;8089
Grybów;6;31;216;1533;10718
Łagiewniki;2;24;181;1245;8719
Lipno;0;2;18;118;820
Piaski;5;36;247;1712;11975
Mełgiew;5;21;141;963;6749
Stegna;5;37;264;1855;12960
Ustka;0;3;17;112;771
Opinogóra Górna;4;29;205;1449;10170
Sońsk;5;32;228;1598;11201
Pilawa;2;16;110;781;5459
Cieszanów;5;46;309;2188;15375
Lubaczów;4;38;284;2011;14096
Wielkie Oczy;5;28;205;1425;9981
Podegrodzie;3;13;92;624;4408
Stary Sącz;3;18;138;983;6866
Kotla;4;26;191;1332;9325
Malechowo;8;47;351;2487;17368
Ulhówek;5;29;210;1459;10210
Markowa;2;13;100;681;4758
Ochotnica Dolna;3;29;195;1377;9668
Bukowno;1;11;89;632;4432
Przeciszów;2;7;44;340;2392
Koniusza;2;19;126;886;6217
Nowe Brzesko;2;11;79;546;3823
Bolków;5;35;227;1574;11013
Kobylanka;5;27;191;1326;9267
Stara Dąbrowa;3;23;170;1192;8352
Biała Podlaska;1;9;72;513;3585
Włodawa;0;4;26;174;1225
Wyryki;6;45;320;2248;15725
Pelplin;4;32;217;1513;10606
Sieciechów;2;12;88;610;4282
Głowaczów;5;39;272;1895;13272
Rakszawa;2;13;93;670;4667
Mielec;1;9;65;443;3110
Gawłuszowice;1;7;49;344;2411
Radomyśl Wielki;5;30;227;1595;11112
Chełmek;1;5;40;273;1885
Stryszawa;4;23;157;1105;7778
Gromnik;1;13;100;679;4770
Kłodzko;0;4;36;246;1707
Mrocza;4;34;231;1609;11258
Brzuze;3;19;128;935;6533
Grzmiąca;7;46;310;2188;15349
Szczebrzeszyn;4;27;170;1211;8467
Łęknica;0;4;23;167;1178
Legionowo;1;2;18;127;906
Sienno;4;30;212;1467;10256
Jeżowe;4;23;177;1246;8675
Jarocin;3;18;130;891;6246
Węgorzyno;7;54;393;2775;19420
Międzyrzec Podlaski;9;58;375;2634;18434
Rusiec;3;20;140;997;6979
Kutno;0;5;48;352;2458
Krośniewice;2;18;137;966;6760
Dąbrowice;1;10;68;472;3312
Olszewo-Borki;7;44;293;2056;14429
Troszyn;5;34;234;1632;11451
Ostrów Mazowiecka;1;5;34;237;1643
Lipsko;4;28;189;1304;9123
Jadów;3;24;172;1215;8535
Przemyśl;0;0;0;0;0
Orły;3;15;101;718;4971
Stubno;2;20;126;881;6150
Kalwaria Zebrzydowska;2;14;106;750;5245
Andrychów;3;21;145;986;6885
Mucharz;1;8;54;374;2610
Lanckorona;1;9;58;401;2796
Świekatowo;2;14;100;683;4812
Śliwice;4;37;269;1894;13260
Drelów;7;42;340;2365;16541
Janów Podlaski;4;27;195;1367;9610
Sosnówka;6;30;217;1514;10600
Tuczna;5;35;241;1684;11782
Zalesie;4;31;218;1516;10616
Gorzów Wielkopolski;3;18;133;921;6446
Małkinia Górna;5;27;195;1381;9698
Osieck;2;14;102;700;4930
Otwock;2;10;72;493;3462
Somianka;4;26;176;1231;8624
Siemiątkowo;3;22;170;1182;8293
Tryńcza;3;15;96;713;4987
Kraków;9;67;465;3244;22620
Malczyce;1;11;76;549;3866
Udanin;2;24;159;1124;7903
Milicz;12;93;647;4501;31525
Józefów;3;25;181;1267;8900
Tarnogród;4;23;165;1141;7946
Tereszpol;3;28;202;1401;9819
Maszewo;6;47;319;2222;15588
Brójce;2;12;97;692;4848
Radzanowo;4;21;157;1105;7675
Płock;2;18;127;897;6291
Lubenia;1;14;77;535;3765
Besko;0;5;36;257;1805
Turośń Kościelna;4;30;213;1509;10583
Kwidzyn;0;5;36;243;1696
Lubanie;0;0;0;0;0
Kowal;4;28;184;1276;8954
Lubień Kujawski;4;31;221;1572;10981
Rogowo;6;38;269;1893;13220
Katowice;4;33;232;1615;11315
Ruda-Huta;3;24;162;1119;7876
Dorohusk;6;39;275;1933;13545
