Nazwa Gminy; Liczba Hexagonów
Nowe Miasteczko;208
Drzewica;285
Mała Wieś;269
Łąck;237
Wyszogród;243
Kędzierzyn-Koźle;290
Cisek;170
Sanok;81
Zaleszany;192
Wiązów;341
Bydgoszcz;474
Lisewo;242
Unisław;198
Będzin;87
Hrubieszów;73
Trzeszczany;196
Godziszów;228
Chrzanów;183
Kraśniczyn;249
Krasnystaw;339
Stare Kurowo;213
Pabianice;210
Strzelce Wielkie;191
Siemkowice;240
Brwinów;176
Lesko;240
Czyże;338
Prusice;409
Brenna;217
Kraśnik;58
Torzym;1026
Potworów;195
Obryte;347
Praszka;252
Radłów;194
Borzęcin;230
Gnojnik;117
Zawonia;296
Wisznia Mała;261
Wałbrzych;218
Starcza;45
Małomice;217
Zadzim;355
Świercze;231
Winnica;284
Przytyk;314
Jedlnia-Letnisko;150
Turawa;416
Biała;180
Mielnik;467
Jordanów Śląski;140
Bardo;170
Drawno;904
Jabłonna;160
Strzyżewice;248
Niedrzwica Duża;243
Kołczygłowy;485
Regnów;110
Błaszki;497
Brzeźnio;314
Skaryszew;407
Korczew;257
Sejny;9
Korycin;286
Bolesławiec;157
Osiecznica;1137
Nieszawa;23
Nowogard;1001
Czaplinek;1035
Milejów;268
Spiczyn;189
Wojcieszków;254
Warta;626
Godzianów;105
Słupia;104
Sabnie;256
Michałowice;82
Rutka-Tartak;253
Ciechanowiec;485
Ciechocinek;33
Bobrowo;392
Górzno;209
Płoty;697
Wolin;958
Dębowa Kłoda;429
Pruszcz Gdański;392
Budziszewice;69
Rokiciny;220
Tomaszów Mazowiecki;102
Mirów;122
Błonie;208
Dębica;75
Pruchnik;176
Radymno;23
Kamienica;209
Gryfino;729
Zbąszyń;489
Lasowice Wielkie;506
Żukowice;173
Kamienna Góra;42
Mielno;191
Morawica;319
Pietrowice Wielkie;153
Goleszów;148
Dukla;500
Kietrz;327
Zakopane;182
Jabłonka;474
Piwniczna-Zdrój;272
Krynica-Zdrój;310
Urzędów;265
Zgorzelec;44
Złoty Stok;180
Świeradów-Zdrój;56
Nowa Ruda;88
Podgórzyn;205
Zielona Góra;734
Stepnica;866
Skierniewice;81
Myszyniec;582
Rybnik;341
Sędziszów Małopolski;336
Tyczyn;114
Tarnowskie Góry;194
Koszyce;149
Lubowidz;499
Dobromierz;215
Łódź;723
Cielądz;222
Andrzejewo;296
Lubawa;44
Tarnowo Podgórne;274
Małogoszcz;344
Tuczępy;185
Solec-Zdrój;192
Opatów;174
Miedziana Góra;170
Masłów;204
Mirzec;261
Skarżysko Kościelne;129
Suchedniów;170
Bogoria;270
Działoszyce;238
Kruklanki;515
Rychliki;364
Milejewo;260
Ełk;967
Biskupiec;770
Dywity;432
Węgorzewo;879
Pieniężno;659
Płoskinia;473
Lidzbark;670
Osieczna;329
Wijewo;161
Szamocin;345
Krzyż Wielkopolski;475
Odolanów;340
Miedzichowo;553
Doruchów;249
Sośnie;476
Pleszew;459
Zaniemyśl;268
Dolsk;328
Dominowo;206
Damasławek;276
Wapno;118
Września;581
Siedlec;544
Przemęt;589
Koźminek;216
Ceków-Kolonia;215
Godziesze Wielkie;266
Lisków;193
Gniezno;108
Grzegorzew;182
Niechanowo;275
Grodzisk Wielkopolski;352
Miedźno;270
Przystajń;211
Kochanowice;194
Pyskowice;72
Panki;134
Goczałkowice-Zdrój;117
Rydułtowy;34
Mszana;68
Radziechowy-Wieprz;149
Ślemień;100
Szczekociny;307
Kampinos;217
Sadowne;354
Cmolas;298
Dobczyce;144
Grudziądz;149
Świecie nad Osą;257
Gniewkowo;481
Manowo;542
Markuszów;89
Wąwolnica;146
Sulęczyno;368
Żukowo;461
Skomlin;134
Wierzchlas;281
Łubnice;184
Jedlicze;125
Raciechowice;136
Kamionka Wielka;142
Łososina Dolna;186
Pielgrzymka;268
Świerzawa;405
Kikół;257
Dobra (Szczecińska);330
Wohyń;415
Ryki;371
